WKT,osm:_timestamp,osm:_user,osm:accessibility,osm:addr:city,osm:addr:postcode,osm:addr:street,osm:amenity,osm:barrier,osm:barrier:gate,osm:barrier:security_fence,osm:building:blocks,osm:building:classrooms,osm:building:levels,osm:building:library,osm:building:material,osm:building:roof,osm:condition,osm:contact,osm:contact:,osm:contact:address,osm:contact:email,osm:contact:mobile,osm:contact:person,osm:contact:phone,osm:education:admission_fee,osm:education:board_of_management,osm:education:boarding,osm:education:bom,osm:education:bom_employed,osm:education:bom_how_many,osm:education:committees,osm:education:curriculum,osm:education:exam_affiliate,osm:education:exam_center,osm:education:exam_fee,osm:education:extra_agriculture_club,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_nature_club,osm:education:extra_other,osm:education:extra_scouts,osm:education:extra_scouts/girl_guide,osm:education:extra_scouts:girl_guide,osm:education:extra_sports,osm:education:extra_woodwork,osm:education:fees,osm:education:fees_admission,osm:education:fees_exam,osm:education:fees_level,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:fees_level4,osm:education:fees_level5,osm:education:fees_level6,osm:education:fees_lunch,osm:education:fees_optional,osm:education:fees_other,osm:education:fees_per_term,osm:education:fees_per_year,osm:education:fees_sponsored,osm:education:fees_trip,osm:education:funding,osm:education:gender_type,osm:education:government_grants,osm:education:government_registered,osm:education:government_registered_which_ministry,osm:education:how_many,osm:education:lunch_fee,osm:education:management_committee,osm:education:mean,osm:education:mean_score,osm:education:nemis_code,osm:education:ntsa_approved_teachers,osm:education:num_classes,osm:education:operate_as,osm:education:operator,osm:education:other,osm:education:parents_teachers_association,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_feeding_description,osm:education:program_feeding_description_1,osm:education:program_feeding_description_2,osm:education:program_orphans,osm:education:program_other,osm:education:program_sanitary_towel,osm:education:program_special_needs,osm:education:pta,osm:education:sanitary_towel,osm:education:sanitary_towel_distribution,osm:education:school_head,osm:education:special_needs,osm:education:sponsored_by,osm:education:sports,osm:education:student_female,osm:education:student_male,osm:education:students,osm:education:students_female,osm:education:students_male,osm:education:supported_by,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:teachers_tsc_registered,osm:education:teachers_under_going_training,osm:education:teachers_undergoing_training,osm:education:teachers_untrained,osm:education:trip_fee,osm:education:tsc_employ,osm:education:tsc_employed,osm:education:tsc_how_many,osm:education:type,osm:education:type_of_vocational_school,osm:education:which_ministry,osm:educations:sponsored_by,osm:electricity:operational_status,osm:government:registered,osm:government:registered_1,osm:government:registered_3,osm:id,osm:image,osm:image:classroom,osm:image:compound,osm:image:outside,osm:image:sign_post,osm:internet_access,osm:is_in:constituency,osm:is_in:estate,osm:is_in:village,osm:is_in:ward,osm:isced:level,osm:laboratory,osm:laboratory:equipment,osm:leisure,osm:level,osm:location,osm:name,osm:name:en,osm:operational_status:electricity,osm:operator,osm:operator:description,osm:operator:funding,osm:operator:name,osm:operator:type,osm:operator_type,osm:place:village,osm:playground,osm:playground:arranged_name,osm:polling_station:accessibility,osm:polling_station:election_year,osm:polling_station:nearest_health_centre,osm:polling_station:nearest_police_station,osm:polling_station:source,osm:polling_station:type,osm:polling_station:type_description,osm:registered_voters,osm:registration_date,osm:registration_year,osm:room:kitchen,osm:room:staff,osm:source,osm:start_date,osm:station:type_description,osm:toilet:arranged_name,osm:toilet:boys_toilet,osm:toilet:girls_toilet,osm:toilet:present,osm:toilet:teachers,osm:toilets,osm:toilets:female,osm:toilets:handwashing,osm:toilets:male,osm:toilets:teachers,osm:type,osm:waste:garbage_disposal,osm:water:hand_wash_facility,osm:water:source,osm:water:source_of_water,osm:water_source,osm:wikidata
"MULTIPOINT ((36.856763 -1.261708))",2020/11/24,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_primary,,,,,,,,node/1038202672,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592554672019.jpg,,,,,,,,,,,,,,,mathare,Myto Junior Academy,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.860972 -1.258841))",2019/05/09,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/1038202722,,,,,,,,,,,,,,,,mathare,St Lwanga zone nursery/primary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.857657 -1.262247))",2010/12/14,charles juma,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node/1038202725,,,,,,,,,,,,,,,,mathare,Brilliant center academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.859284 -1.262276))",2019/05/08,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/1038202744,,,,,,,,,,,,,,,,mathare,Ebenezar Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.863255 -1.256598))",2019/08/28,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,node/1038202804,,,,,,,,,,,,,,,,mathare,Mercy care center secondary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.860351 -1.26133))",2020/12/01,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/1038202813,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592548407702.jpg,,,,,,,,,,,,,,,mathare,Excellent Care Centre,,,,,Astley sports college,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.875383 -1.251561))",2019/08/28,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/1038219156,,,,,,,,,,,,,,,,mathare,Brain House Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.87624 -1.250972))",2019/08/28,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,node/1038219177,,,,,,,,,,,,,,,,mathare,Brain House High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.854177 -1.263361))",2020/11/24,muindre,foot,,,,school,,,,,,"1",,cement_block,ironsheets,good,,,P O BOX 1894-00200,agerc2000@gmail.com,,,"0727931548",,,,,,,,8_4_4,,,,,yes,yes,,,,,,yes,,1200 per term,,,,,,,,,,,100 per term for exams,,,,,,,girls_only,,mgcsd,,,,yes,,,,,,,,,,yes,Yes,,,,,,,,yes,,,Mary Atieno,,,,,,"80","80",,,"4","4",,"2",,,,,,,"0",,primary,,,,sometimes,,,,node/1100019215,,,,,,,,,,,,,,,,mathare,Angel Girls Education Centre,,,,Agella Adhiambo,,,private,,Kosovo,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
"MULTIPOINT ((36.873724 -1.257308))",2011/01/13,hassanow,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node/1101737253,,,,,,,,,,,,,,,,mathare,Hope Missionary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.862661 -1.261091))",2021/11/24,muindre,"foot,big_vehicles,small_cars",,,,school,gate,,yes,"1","3","1",yes,"iron_sheet,cement_block",iron_sheet,fair,,,"P O Box 8097_00200, Nairobi",okanguharun2017@gamil.com,,,"0724098641",,,,,no,,,"8_4_4,2_6_3_3_3",Heide_Maria_Pimary_school,yes,,,yes,yes,,,no,,,yes,,yes,"600","300",,"150","4600","4600",,,,"0",,,"150","4600",,"0",,mixed,no,moe,,,,yes,,"256",yes,,"14",day_school,,,,yes,yes,school_fees,,,yes,,no,no,yes,,,Harun Okango,,synesius,,,,"200","120","50",other,"13","7","6","7","4","2",,"3",,,"0",,primary,,,,always,,,,node/1103092195,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1590478192657.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626167998837.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626167945225.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626167926302.jpg,,yes,,,,,,computer,,playground,,mathare,St.Micheals Educational Center,,,,county_government,,,private_not_for_profit,,Mathare Mashimoni,yes,,,,,,,,,,,,yes,yes,,"2008",,,,,yes,"2",,"3",yes,"3","2",,always,,,,tap,
"MULTIPOINT ((36.863691 -1.259784))",2021/10/14,fondolucy,small_cars big_vehicles foot,,,,school,gate,,,"1","1","1",yes,iron_sheet,iron_sheet,,,,"P O Box 225-00510, Nairobi",Jordanfriendsministries@gmail.com,,,"0725481011",,,,,,,Church committe,"2_6_3_3_3,8_4_4",,yes,,yes,yes,yes,,"football,basket ball",yes,,,yes,,yes,"200","450",,,"1800","2700",,,,"0",,,,"4700",,"0",,mixed,no,mgcsd,,,,yes,,,yes,,"11",day_school,,,,yes,yes,sponsored,,,yes,,yes,yes,yes,,,Winnie Okumu,,from_USA,,,,"177","82","95",other,"8","4","4","0","0","0",,"0",,,"2",,primary,,,,never,,,,node/1103092338,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626343152132.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626343224910.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626343255987.jpg,,,,,,,,,,,,mathare,Ngota's Upendo Nursery School and Youth Center,,,,Jordan Friends Ministries Church,,Rev. Andula,religious,,Mabatini,outside_public_arranged,Kwa Kanji,,,,,,,,,,,yes,yes,,"1992",,,,,yes,"1",,"2",yes,"2","1",,always,,,,tap,
"MULTIPOINT ((36.862644 -1.261405))",2016/11/14,felloh Jamuradi,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node/1103092371,,,,,,,,,,,,,,,,mathare,Mathare Family Hope Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.862263 -1.261094))",2019/05/22,fondolucy,foot,,,,school,,,yes,,"11","1",,wood,ironsheets,,,"0721147386",,,,,,,,,,,,B.O.M,8_4_4,Kaso Upendo Neighbouring School,no,,yes,yes,yes,,,,yes,,yes,,yes,,,,"2100","2100","2100","2100",,,,,,,,,,,mixed,,no,,,,yes,,,,,,day_school,community,,,yes,yes,fees,,,,,yes,,yes,,,Paul Opiyo,,,,,,"204","47","157",foreign_donors,"8","4","4","2",,,,,,,"0",,primary,,,,sometimes,,,,node/1103092451,,,,,,,,,,,,,,,,mathare,Why Not Academy,,,,association,,whynot,community,,Mathare Mashimoni,yes,,,,,,,,,,,,yes,yes,,"2006",,,,,yes,,,"2",,"1","1",,sometimes,,,,,
"MULTIPOINT ((36.864399 -1.259449))",2019/05/08,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vocational,,,,,,,,node/1103092472,,,,,,,,,,,,,,,,mathare,Driving School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.86053 -1.259363))",2011/02/02,PrimusK,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node/1103152621,,,,,,,,,,,,,,,,mathare,Joy care center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.85564 -1.263172))",2021/11/24,muindre,"small_cars,big_vehicles,foot",,,,school,,,,"1","8","1",,"concrete,cement_block",iron_sheet,fair,,,"P O Box 77002-00619, Nairobi",mcedocom@gmail.com,,,"071350291",,,,,,,,"8_4_4,2_6_3_3_3",,yes,,,no,yes,,,yes,,,yes,,yes,"200","0",,,"2800","3400",,,,"0",,,,"2800",,"0",,mixed,yes,moe,,,,yes,,,yes,,"8",day_school,,,,yes,yes,sponsored,,,yes,Enviromental clubs and health,yes,yes,yes,,,Gladys Achieng,,,,"237","245","313","172","141",other,"10","6","4","10","0","2",,"0",,,,,primary,,,,sometimes,,,,node/1109445798,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1590394145854.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626336092480.jpg,,,,,,,,,,,,playground,,mathare,MCEDO Beijing Education Centre,,,,,,MCEDO,individual,,,,,,,,,,,,,,,,,,,,,,,yes,"1",,"9",yes,"5",,,,,,,water_tank,
"MULTIPOINT ((36.852455 -1.262679))",2019/08/28,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_primary,,,,,,,,node/1110199109,,,,,,,,,,,,,,,,mathare,Neema worship centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.857843 -1.263538))",2021/11/24,muindre,"small_cars,big_vehicles,foot",,,,school,,,,"1","2","2",,concrete,iron_sheet,,,,"P O Box 28646-00200, Nairobi",patmosjuniorschool@yahoo.com,,,"0706249458",,,,,,,,2_6_3_3_3,Genesis Joy,,,,yes,yes,,environmental and debate,no,,,no,,yes,"500","0",,"0",,,,,,"0",60 for exams,Maintance fee 300,,"0",,"0",,mixed,no,in_the_process,moe,,,yes,,,no,,"2",day_school,,,,yes,yes,sponsored,,,no,,no,no,yes,,,Richard Wanjala,,,,,,"42","18","24",foreign_donors,"3","4","0","4","3","0",,"0",,,"0",,pre_primary,,,,always,,,,node/1110227275,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626254484825.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626254601660.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626254694817.jpg,,,,,,,,,,playground,,mathare,Patmos School,,,,Patmos organisation,,Evangelical Gospel,cbo,,Mathare 4B,,,,,,,,,,,,,,,,,,,,,yes,"2",,"6",yes,"6",,,,,,,water_tank,
